block_datetime,slot,block_number,block_hash,value,base_fee_per_gas,gas_limit,gas_used,num_tx,builder_label,builder_pubkey,relay,bid_timestamp_ms,slot_time_ms,proposer_pubkey,proposer_mev_recipient,optimistic_submission,builder_fee_recipient,block_timestamp,extra_data,payload_delivered
2024-01-30 22:54:59,8319273,19122435,0xae2596549246ac049a38fd789a5f1fc59debfcbf50cf6def82a796c01d35b0fc,,22079438740.0,30000000.0,9347077.0,0.0,,0x30b7e71ed0271504b16cff58581befc078ba8818,,,,0x30b7e71ed0271504b16cff58581befc078ba8818,0x30b7e71ed0271504b16cff58581befc078ba8818,False,0x30b7e71ed0271504b16cff58581befc078ba8818,1706655299.0,0x,0.0
2024-01-30 22:23:35,8319116,19122278,0x17b4070b9fcb704f88f02973c5faf57ea82981569f76c5fab346511e9da2563a,,21424501207.0,30000000.0,8142562.0,0.0,geth,0x3c71b57a9ee8df5a6e9ea220e00d37878e20e1cd,,,,0x3c71b57a9ee8df5a6e9ea220e00d37878e20e1cd,0x3c71b57a9ee8df5a6e9ea220e00d37878e20e1cd,False,0x3c71b57a9ee8df5a6e9ea220e00d37878e20e1cd,1706653415.0,0xd883010d0a846765746888676f312e32312e35856c696e7578,0.0
2024-01-30 21:25:11,8318824,19121989,0x66337de8a08db3a3e6f6f9323b05b8afa0053a0bad4ff4c2ee35c1288d1c4067,,20951173900.0,30000000.0,17795170.0,0.0,geth,0xc972fee7d8c787b9dae6e94649c68575a1b08da5,,,,0xc972fee7d8c787b9dae6e94649c68575a1b08da5,0xc972fee7d8c787b9dae6e94649c68575a1b08da5,False,0xc972fee7d8c787b9dae6e94649c68575a1b08da5,1706649911.0,0xd883010d08846765746888676f312e32312e35856c696e7578,0.0
2024-01-30 21:11:23,8318755,19121921,0x359f45073936079b0a6a100b269804d16c0dd2dfe7a5f3514411a8dd44d4c179,,26467442228.0,30000000.0,12654406.0,0.0,,0xbfd860fcba919887fef54c690ff5331bf8f14ff3,,,,0xbfd860fcba919887fef54c690ff5331bf8f14ff3,0xbfd860fcba919887fef54c690ff5331bf8f14ff3,False,0xbfd860fcba919887fef54c690ff5331bf8f14ff3,1706649083.0,0x,0.0
2024-01-30 20:33:59,8318568,19121734,0x1e87d86ac9749e3b9e1bef3e33e0244e59294166baa35a2c19c9e4e0e2e65eec,,22445176320.0,30000000.0,12670593.0,0.0,geth,0x2d7d3d3c80a87b4a307c574f4f0e47b4b4f5588a,,,,0x2d7d3d3c80a87b4a307c574f4f0e47b4b4f5588a,0x2d7d3d3c80a87b4a307c574f4f0e47b4b4f5588a,False,0x2d7d3d3c80a87b4a307c574f4f0e47b4b4f5588a,1706646839.0,0xd883010d0a846765746888676f312e32312e35856c696e7578,0.0
2024-01-30 20:13:47,8318467,19121633,0xda1b98cba02379adc34cdc4e85c6e9be8da1ee3beeeed48cdd3416c5a0b994d0,,25334338601.0,30000000.0,9946378.0,0.0,,0x8a7bacac5959f099ed94949176a4d70e74d8cac9,,,,0x8a7bacac5959f099ed94949176a4d70e74d8cac9,0x8a7bacac5959f099ed94949176a4d70e74d8cac9,False,0x8a7bacac5959f099ed94949176a4d70e74d8cac9,1706645627.0,0x,0.0
2024-01-30 19:59:47,8318397,19121564,0xf7524e3c817ee65ca19cbb499bec8c800ca46f25c06a518246083eae8fe144a8,,23685442738.0,30000000.0,13630966.0,0.0,geth,0x7d2fa5b459131a6913412a9b4dd3dbc291c48e6b,,,,0x7d2fa5b459131a6913412a9b4dd3dbc291c48e6b,0x7d2fa5b459131a6913412a9b4dd3dbc291c48e6b,False,0x7d2fa5b459131a6913412a9b4dd3dbc291c48e6b,1706644787.0,0xd883010d01846765746888676f312e32312e31856c696e7578,0.0
2024-01-30 17:38:11,8317689,19120863,0x6e826c6dec5523fae75eb4b0eae62345af0b438b7bfe67eeb7b2d27e95e2575b,,35478692714.0,30000000.0,12911668.0,0.0,geth,0x87b64bed4de8b52e86948bad3c3219ee5fe9b65c,,,,0x87b64bed4de8b52e86948bad3c3219ee5fe9b65c,0x87b64bed4de8b52e86948bad3c3219ee5fe9b65c,False,0x87b64bed4de8b52e86948bad3c3219ee5fe9b65c,1706636291.0,0xd883010b05846765746888676f312e32302e32856c696e7578,0.0
2024-01-30 17:20:23,8317600,19120774,0x26aed0b0291e813163cb2e94871d5383a138fd7e17738ea1fb4e68d33e89e0f1,,41044087322.0,30000000.0,12188622.0,0.0,geth,0xf5b06f498d6342eafd1115a59f688eaf13d5ed83,,,,0xf5b06f498d6342eafd1115a59f688eaf13d5ed83,0xf5b06f498d6342eafd1115a59f688eaf13d5ed83,False,0xf5b06f498d6342eafd1115a59f688eaf13d5ed83,1706635223.0,0xd883010c02846765746888676f312e32302e37856c696e7578,0.0
2024-01-30 16:01:59,8317208,19120386,0x2373fa3cac338cb12ff57a1805bf5f6b36dbe6ff77a8f98acb48c00d1dd36a68,,151885147125.0,30000000.0,9388160.0,0.0,geth,0x3543493a76ce5ca362dd6eeef000547de52b6875,,,,0x3543493a76ce5ca362dd6eeef000547de52b6875,0x3543493a76ce5ca362dd6eeef000547de52b6875,False,0x3543493a76ce5ca362dd6eeef000547de52b6875,1706630519.0,0xd883010d0b846765746888676f312e32312e36856c696e7578,0.0
