transaction_hash,block_number,builder_reward,ethusd_price,from_address,to_address,TX Category,Unified TX Categories,Complex?,Execution,Execution Protocol,Token,Block POS,MEV?,Relay,EigenTX
0x080822db972b1501153255a5681fcd9fd184f2f52b073eef1740deff26a01aaf,19385041,0.50151476,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  SNRA,0,N,ultra sound (Relay),https://eigenphi.io/mev/eigentx/0x080822db972b1501153255a5681fcd9fd184f2f52b073eef1740deff26a01aaf
0xf102d6500ec691f099e8e5d3ab28346d77f7cdc272054c2bf971cc7579bc8d82,19383486,0.45632,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  FUSION,0,N,Agnostic (Relay)  ultra sound (Relay),https://eigenphi.io/mev/eigentx/0xf102d6500ec691f099e8e5d3ab28346d77f7cdc272054c2bf971cc7579bc8d82
0x7a6e4cb31802d0ff1f46f873fb91f7796e065d30219c57deac43d83406531764,19384959,1.02078068,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  BLAST,1,N,Agnostic (Relay)  BloXroute [Max-Profit] (Relay)  Flashbots (Relay)  ultra sound (Relay),https://eigenphi.io/mev/eigentx/0x7a6e4cb31802d0ff1f46f873fb91f7796e065d30219c57deac43d83406531764
0x974dea36e6041fd01cf51ff01c7e66321172c62ed8b4ac5083ce879f4819207e,19535220,2.46318979,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  POS,2,N,Aestus (Relay)  Agnostic (Relay)  BloXroute [Max-Profit] (Relay)  BloXroute [Regulated] (Relay)  Flashbots (Relay)  ultra sound (Relay),https://eigenphi.io/mev/eigentx/0x974dea36e6041fd01cf51ff01c7e66321172c62ed8b4ac5083ce879f4819207e
0xd8cbe2e7a1d4bfb581e65106ff3226e9803ac284dca9381784aba03102c12319,19541315,0.62782252,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  $KAZAR,2,N,Aestus (Relay)  Agnostic (Relay)  BloXroute [Max-Profit] (Relay)  BloXroute [Regulated] (Relay)  Flashbots (Relay),https://eigenphi.io/mev/eigentx/0xd8cbe2e7a1d4bfb581e65106ff3226e9803ac284dca9381784aba03102c12319
0xc1a2ace378487c9fc6d4b9bd5e22245427a5b977249c598c8944b0749601cc84,19349320,5.07360234,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  BLENDR,3,N,"BloXroute Max Profit, BloXroute Regulated",https://eigenphi.io/mev/eigentx/0xc1a2ace378487c9fc6d4b9bd5e22245427a5b977249c598c8944b0749601cc84
0x902129217a9192c4a4506a48babe972d335d323c2a221f9c3c7c96cd5c027cae,19341999,0.71988972,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  REF,4,N,Flashbots (Relay),https://eigenphi.io/mev/eigentx/0x902129217a9192c4a4506a48babe972d335d323c2a221f9c3c7c96cd5c027cae
0xdbf0862e1f693de9d8dabac9f4dcb0db6ee66cbf49b0789e9217a647a004c549,19485701,1.01756161,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  ITV,6,N,BloXroute [Max-Profit] (Relay),https://eigenphi.io/mev/eigentx/0xdbf0862e1f693de9d8dabac9f4dcb0db6ee66cbf49b0789e9217a647a004c549
0x8a39cfbcd51464a4390f17c206d009335870ca924d61fc9d62d277f7fc7afff9,19391505,0.529596645,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,Sniping,Complex Blue Chip Swap,#N/A,BOT,, ETH  WETH  AIR,24,N,Aestus (Relay)  Agnostic (Relay)  BloXroute [Max-Profit] (Relay)  BloXroute [Regulated] (Relay)  ultra sound (Relay),https://eigenphi.io/mev/eigentx/0x8a39cfbcd51464a4390f17c206d009335870ca924d61fc9d62d277f7fc7afff9
0x55d5d33e87e1fad4751c8bcc7d61c8fa5800df78d830503b40a46dfd522853f2,19364008,0.644332607,,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1,,,#N/A,,,,2,,,https://eigenphi.io/mev/eigentx/0x55d5d33e87e1fad4751c8bcc7d61c8fa5800df78d830503b40a46dfd522853f2
0xc85669dce3ef97ec15edfdccd327c34fc98c11b3549eae2f63fb923282a4ca63,19380607,0.5594228157,3798.115178,0x8ef57238cd4178eed96cd30a13cbc7448925328e,0x00000023c10000eecb940000b914cdfd76cc83d1,Sandwich Backrun,,#N/A,,,,6,Y,,https://eigenphi.io/mev/eigentx/0xc85669dce3ef97ec15edfdccd327c34fc98c11b3549eae2f63fb923282a4ca63
0x4be44a26a0a0f6dd6d83373bfbd023e385b2b5d5ec4b14ea3bf852d299760dde,19521139,6.13218046,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,,,#N/A,,,,,,,https://eigenphi.io/mev/eigentx/0x4be44a26a0a0f6dd6d83373bfbd023e385b2b5d5ec4b14ea3bf852d299760dde
0x3d8fe7ce0c556778ede44e24a565cdf85eb029f02c910edf9ed9cc68a782ac68,19420950,5.10157837,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,,,#N/A,,,,,,,https://eigenphi.io/mev/eigentx/0x3d8fe7ce0c556778ede44e24a565cdf85eb029f02c910edf9ed9cc68a782ac68
0xc1a2ace378487c9fc6d4b9bd5e22245427a5b977249c598c8944b0749601cc84,19349320,5.07360234,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,,,#N/A,,,,,,,https://eigenphi.io/mev/eigentx/0xc1a2ace378487c9fc6d4b9bd5e22245427a5b977249c598c8944b0749601cc84
0xf223b7e38191dc2b0bc17f992e543c38ee31425a5f751c2db03840f8b65b3fb4,19371818,3.800331155,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,,,#N/A,,,,,,,https://eigenphi.io/mev/eigentx/0xf223b7e38191dc2b0bc17f992e543c38ee31425a5f751c2db03840f8b65b3fb4
0x98c4d65771d07659fce6ad8f7a7f76145f4010416f31794d9767a2b19e412f0e,19555214,3.11638043,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,,,#N/A,,,,,,,https://eigenphi.io/mev/eigentx/0x98c4d65771d07659fce6ad8f7a7f76145f4010416f31794d9767a2b19e412f0e
0x974dea36e6041fd01cf51ff01c7e66321172c62ed8b4ac5083ce879f4819207e,19535220,2.46318979,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,,,#N/A,,,,,,,https://eigenphi.io/mev/eigentx/0x974dea36e6041fd01cf51ff01c7e66321172c62ed8b4ac5083ce879f4819207e
0xf77140dd5f1829b9a12b2794bf4dc9a3de07a5c86231d29e40fee613dd15abb2,19413074,2.408768592,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,,,#N/A,,,,,,,https://eigenphi.io/mev/eigentx/0xf77140dd5f1829b9a12b2794bf4dc9a3de07a5c86231d29e40fee613dd15abb2
0x53a34575b1bd9d2cdf407d8e67e80c3956a87728111113151a23d46007ae6c76,19527797,2.17285206,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,,,#N/A,,,,,,,https://eigenphi.io/mev/eigentx/0x53a34575b1bd9d2cdf407d8e67e80c3956a87728111113151a23d46007ae6c76
0xc01fede8975f163f0c6333091addb77d451b83d4a7dd82cc4588cbfe2df42219,19536069,2.031596415,,0x1df2ce7ee67b94de3f8abd206d7fe748fe352b1e,0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,,,#N/A,,,,,,,https://eigenphi.io/mev/eigentx/0xc01fede8975f163f0c6333091addb77d451b83d4a7dd82cc4588cbfe2df42219
